Territory X Date,target
Afghanistan X 3/6/20,0.0
Afghanistan X 3/7/20,0.0
Afghanistan X 3/8/20,0.0
Afghanistan X 3/9/20,0.0
Afghanistan X 3/10/20,0.0
Afghanistan X 3/11/20,0.0
Afghanistan X 3/12/20,0.0
Afghanistan X 3/13/20,0.0
Afghanistan X 3/14/20,0.0
Afghanistan X 3/15/20,0.0
Afghanistan X 3/16/20,0.0
Afghanistan X 3/17/20,0.0
Afghanistan X 3/18/20,0.0
Afghanistan X 3/19/20,0.0
Afghanistan X 3/20/20,0.0
Afghanistan X 3/21/20,0.0
Afghanistan X 3/22/20,1.0
Afghanistan X 3/23/20,1.0
Afghanistan X 3/24/20,1.0
Afghanistan X 3/25/20,2.0
Afghanistan X 3/26/20,4.0
Afghanistan X 3/27/20,4.0
Afghanistan X 3/28/20,4.0
Afghanistan X 3/29/20,4.0
Afghanistan X 3/30/20,4.0
Afghanistan X 3/31/20,4.0
Afghanistan X 4/1/20,4.0
Afghanistan X 4/2/20,1.563674894059659
Afghanistan X 4/3/20,1.7636984601267613
Afghanistan X 4/4/20,1.9095554418163374
Afghanistan X 4/5/20,2.014797200317844
Afghanistan X 4/6/20,2.0900241965136956
Afghanistan X 4/7/20,2.1433308753330493
Afghanistan X 4/8/20,2.1807788818114204
Afghanistan X 4/9/20,2.206845008331584
Afghanistan X 4/10/20,2.2248011840565596
Afghanistan X 4/11/20,2.2370140635757707
Afghanistan X 4/12/20,2.2246009478112683
Afghanistan X 4/13/20,2.2112972976174206
Afghanistan X 4/14/20,2.197387195774354
Afghanistan X 4/15/20,2.1624595625326037
Afghanistan X 4/16/20,2.087975316462689
Afghanistan X 4/17/20,2.018458881866536
Afghanistan X 4/18/20,1.9523541206581285
Afghanistan X 4/19/20,1.888495987150236
Afghanistan X 4/20/20,1.8260261072282447
Afghanistan X 4/21/20,1.764318503337563
Afghanistan X 4/22/20,1.7029156567150494
Afghanistan X 4/23/20,1.6916480607324047
Afghanistan X 4/24/20,1.6712852214550367
Afghanistan X 4/25/20,1.644585268732044
Afghanistan X 4/26/20,1.6134831814997597
Afghanistan X 4/27/20,1.5793147614022018
Afghanistan X 4/28/20,1.54298815446964
Afghanistan X 4/29/20,1.5051113437948516
Afghanistan X 4/30/20,1.466078293233295
Afghanistan X 5/1/20,1.4261512624943862
Afghanistan X 5/2/20,1.3854887559864437
Afghanistan X 5/3/20,1.3446156759891892
Afghanistan X 5/4/20,1.3035044565185672
Afghanistan X 5/5/20,1.2621371031127637
Afghanistan X 5/6/20,1.2209175340103684
Afghanistan X 5/7/20,1.1805965394160012
Afghanistan X 5/8/20,1.1409505285701016
Afghanistan X 5/9/20,1.1018309514474822
Afghanistan X 5/10/20,1.0631463042955147
Afghanistan X 5/11/20,1.024838392258971
Afghanistan X 5/12/20,0.9868788836320164
Afghanistan X 5/13/20,0.9492497839528369
Afghanistan X 5/14/20,0.9109177516802447
Afghanistan X 5/15/20,0.8721687838988146
Afghanistan X 5/16/20,0.8331801452004584
Afghanistan X 5/17/20,0.7940678902923537
Afghanistan X 5/18/20,0.7549035184456443
Afghanistan X 5/19/20,0.7157276607722451
Afghanistan X 5/20/20,0.6765705632824393
Afghanistan X 5/21/20,0.637445243246475
Afghanistan X 5/22/20,0.5983631864910421
Afghanistan X 5/23/20,0.5593343473992718
Afghanistan X 5/24/20,0.5203545145013777
Afghanistan X 5/25/20,0.4814236877973599
Afghanistan X 5/26/20,0.442541101565439
